X,Y,Z,DISP,FEED MM/MIN,DUR TIME,TME
20.871,33.153,-1.5,0.066573268,,0.779221549,107.8714952
20.815,33.189,-1.5,1.198443157,,0.044382179,107.9158773
19.79,33.81,-1.5,0.051107729,,0.798962105,108.7148394
19.746,33.836,-1.5,1.208494104,,0.03407182,108.7489113
18.693,34.429,-1.5,0.017888544,,0.805662736,109.554574
18.677,34.437,-1.5,1.206334116,,0.011925696,109.5664997
17.608,34.996,-1.5,0.062609903,,0.804222744,110.3707224
17.552,35.024,-1.5,1.187020219,,0.041739936,110.4124624
16.483,35.54,-1.5,0.034928498,,0.791346813,111.2038092
16.451,35.554,-1.5,1.196179334,,0.023285666,111.2270949
15.358,36.04,-1.5,0.052392748,,0.79745289,112.0245477
15.31,36.061,-1.5,1.193115669,,0.034928498,112.0594762
14.205,36.511,-1.5,0.029732137,,0.795410446,112.8548867
14.177,36.521,-1.5,1.199797483,,0.019821425,112.8747081
13.052,36.938,-1.5,0.060406953,,0.799864989,113.6745731
12.995,36.958,-1.5,1.127353095,,0.040271302,113.7148444
11.926,37.316,-1.5,0.059135438,,0.75156873,114.4664131
11.87,37.335,-1.5,1.174678254,,0.039423625,114.5058368
10.745,37.673,-1.5,0.0585235,,0.783118836,115.2889556
10.689,37.69,-1.5,0.00728011,,0.039015666,115.3279713
10.682,37.692,-1.5,0.050695167,,0.004853407,115.3328247
10.633,37.705,-1.5,1.165279366,,0.033796778,115.3666214
9.507,38.005,-1.5,0.057723479,,0.77685291,116.1434744
9.451,38.019,-1.5,1.155105623,,0.038482319,116.1819567
8.326,38.281,-1.5,0.057271284,,0.770070415,116.9520271
8.27,38.293,-1.5,1.205526026,,0.038180856,116.9902079
7.088,38.53,-1.5,0.034525353,,0.803684018,117.793892
7.054,38.536,-1.5,1.162958727,,0.023016902,117.8169089
5.907,38.728,-1.5,0.056718604,,0.775305818,118.5922147
5.851,38.737,-1.5,0.057558666,,0.037812402,118.6300271
5.794,38.745,-1.5,1.135222005,,0.038372444,118.6683995
4.669,38.897,-1.5,0.056435804,,0.75681467,119.4252142
4.613,38.904,-1.5,1.187182379,,0.037623869,119.4628381
3.432,39.025,-1.5,0.057218878,,0.791454919,120.254293
3.375,39.03,-1.5,1.184054897,,0.038145919,120.2924389
2.194,39.115,-1.5,0.0560803,,0.789369932,121.0818088
2.138,39.118,-1.5,1.182894754,,0.037386866,121.1191957
0.956,39.164,-1.5,0.056035703,,0.788596503,121.9077922
0.9,39.166,-1.5,1.181034292,,0.037357135,121.9451493
-0.281,39.175,-1.5,0.057,,0.787356195,122.7325055
-0.338,39.175,-1.5,1.181331875,,0.038,122.7705055
-1.519,39.147,-1.5,0.0560803,,0.787554584,123.5580601
-1.575,39.144,-1.5,1.183785876,,0.037386866,123.595447
-2.757,39.079,-1.5,0.056142675,,0.789190584,124.3846376
-2.813,39.075,-1.5,1.185483024,,0.03742845,124.422066
-3.994,38.972,-1.5,0.056320511,,0.790322016,125.212388
-4.05,38.966,-1.5,1.190380191,,0.037547008,125.249935
-5.232,38.825,-1.5,0.056568542,,0.793586794,126.0435218
-5.288,38.817,-1.5,1.137771946,,0.037712362,126.0812342
-6.413,38.647,-1.5,0.057558666,,0.75851463,126.8397488
-6.47,38.639,-1.5,1.200770586,,0.038372444,126.8781213
-7.651,38.422,-1.5,0.057271284,,0.800513724,127.678635
-7.707,38.41,-1.5,1.150944829,,0.038180856,127.7168159
-8.832,38.167,-1.5,0.058249464,,0.767296553,128.4841124
-8.889,38.155,-1.5,0.052630789,,0.038832976,128.5229454
-8.94,38.142,-1.5,1.164656172,,0.035087193,128.5580326
-10.07,37.86,-1.5,0.058240879,,0.776437448,129.33447
-10.126,37.844,-1.5,1.177595007,,0.038827253,129.3732973
-11.259,37.523,-1.5,0.050960769,,0.785063338,130.1583606
-11.308,37.509,-1.5,1.180588413,,0.033973846,130.1923345
-12.433,37.151,-1.5,0.059135438,,0.787058942,130.9793934
-12.489,37.132,-1.5,1.192993713,,0.039423625,131.018817
-13.614,36.735,-1.5,0.060166436,,0.795329142,131.8141462
-13.67,36.713,-1.5,1.179969915,,0.040110957,131.8542571
-14.77,36.286,-1.5,0.028231188,,0.78664661,132.6409037
-14.796,36.275,-1.5,1.160882854,,0.018820792,132.6597245
-15.864,35.82,-1.5,0.061846584,,0.773921902,133.4336464
-15.921,35.796,-1.5,1.178463831,,0.041231056,133.4748775
-16.99,35.3,-1.5,0.061741396,,0.785642554,134.26052
-17.046,35.274,-1.5,1.196747676,,0.041160931,134.301681
-18.115,34.736,-1.5,0.056356011,,0.797831784,135.0995128
-18.165,34.71,-1.5,1.178617835,,0.037570674,135.1370834
-19.201,34.148,-1.5,0.044777226,,0.785745223,135.9228287
-19.24,34.126,-1.5,1.183593258,,0.029851484,135.9526801
-20.262,33.529,-1.5,0.054708317,,0.789062172,136.7417423
-20.309,33.501,-1.5,1.217197601,,0.036472212,136.7782145
-21.34,32.854,-1.5,0.045486262,,0.811465067,137.5896796
-21.378,32.829,-1.5,1.164326415,,0.030324174,137.6200038
-22.344,32.179,-1.5,0.056035703,,0.77621761,138.3962214
-22.39,32.147,-1.5,1.198636308,,0.037357135,138.4335785
-23.363,31.447,-1.5,0.05,,0.799090872,139.2326694
-23.403,31.417,-1.5,1.151073412,,0.033333333,139.2660027
-24.316,30.716,-1.5,0.054203321,,0.767382275,140.033385
